id,custom_label_0
105241,Fix-Me
101564,Sidekick
104723,Zombie
102772,Sidekick
102468,Fix-Me
103417,Zombie
101183,Villain
103325,Zombie
104003,Zombie
104039,Zombie
105247,Zombie
101189,Villain
101206,Villain
105316,Villain
101009,Zombie
100118,Sidekick
104571,Zombie
100826,Fix-Me
103921,Sidekick
100013,Sidekick
100139,Zombie
100844,Fix-Me
100847,Sidekick
101044,Zombie
101492,Hero
105617,Villain
101669,Zombie
105122,Fix-Me
103366,Villain
104823,Sidekick
104529,Hero
100334,Zombie
101063,Zombie
100084,Fix-Me
103992,Zombie
105610,Zombie
101800,Zombie
105531,Zombie
102456,Sidekick
104997,Fix-Me
103263,Fix-Me
103611,Zombie
105563,Zombie
104903,Villain
103986,Hero
104708,Zombie
105674,Newborn
100044,Zombie
105673,Newborn
100301,Zombie
105113,Sidekick
103807,Zombie
104000,Zombie
100310,Zombie
100729,Zombie
101473,Zombie
103718,Zombie
100852,Fix-Me
103301,Fix-Me
105205,Zombie
105512,Zombie
103715,Zombie
105052,Zombie
101110,Fix-Me
100410,Villain
104956,Sidekick
105473,Zombie
101007,Zombie
101119,Fix-Me
101218,Villain
102584,Zombie
104623,Sidekick
100424,Sidekick
100365,Zombie
101858,Zombie
105320,Hero
103598,Sidekick
101505,Sidekick
101059,Newborn
103767,Sidekick
104838,Fix-Me
101739,Zombie
103349,Zombie
101754,Zombie
101033,Zombie
100325,Zombie
102517,Fix-Me
100855,Sidekick
100181,Fix-Me
101094,Zombie
105118,Fix-Me
102891,Zombie
101091,Zombie
101018,Zombie
102451,Fix-Me
103192,Zombie
105631,Zombie
100178,Zombie
104760,Newborn
105506,Sidekick
100343,Zombie
100306,Zombie
102846,Sidekick
102575,Zombie
104611,Sidekick
102477,Sidekick
104124,Fix-Me
101670,Zombie
102915,Sidekick
104758,Zombie
104873,Hero
103169,Zombie
103933,Villain
103334,Zombie
105292,Hero
101716,Zombie
100238,Zombie
100270,Zombie
104046,Zombie
104431,Zombie
100361,Zombie
102855,Zombie
102472,Fix-Me
101639,Fix-Me
102489,Fix-Me
105346,Fix-Me
101418,Fix-Me
105244,Fix-Me
100035,Zombie
104807,Newborn
104285,Hero
105479,Sidekick
104709,Fix-Me
103723,Sidekick
104416,Fix-Me
105141,Hero
105636,Zombie
103768,Fix-Me
103332,Zombie
103943,Sidekick
104435,Hero
104647,Sidekick
102914,Fix-Me
102491,Sidekick
101891,Fix-Me
105117,Villain
103355,Fix-Me
102901,Zombie
105006,Zombie
100411,Zombie
100244,Zombie
103271,Fix-Me
100240,Zombie
105313,Zombie
103579,Villain
103981,Sidekick
100311,Zombie
103679,Fix-Me
103720,Zombie
104006,Zombie
101227,Villain
102821,Zombie
105033,Zombie
103770,Fix-Me
100842,Fix-Me
101006,Zombie
101874,Zombie
103189,Zombie
103626,Zombie
101689,Sidekick
105142,Fix-Me
104973,Zombie
103322,Zombie
103878,Fix-Me
103308,Fix-Me
104772,Zombie
103753,Zombie
103748,Zombie
105261,Zombie
103333,Fix-Me
104534,Villain
103172,Zombie
100762,Fix-Me
100367,Zombie
103976,Fix-Me
101688,Villain
103636,Fix-Me
104943,Zombie
101690,Zombie
101666,Zombie
105017,Zombie
105154,Zombie
103474,Sidekick
103910,Zombie
101198,Sidekick
102481,Sidekick
101055,Zombie
103360,Sidekick
105398,Zombie
105639,Fix-Me
100990,Villain
105161,Newborn
104832,Fix-Me
102827,Zombie
102869,Zombie
104085,Villain
100777,Fix-Me
100277,Zombie
102470,Sidekick
100168,Zombie
100287,Zombie
100256,Zombie
101862,Zombie
104406,Hero
101631,Zombie
104466,Fix-Me
103269,Fix-Me
101062,Fix-Me
102568,Sidekick
103270,Zombie
105317,Villain
104487,Zombie
104784,Zombie
101714,Zombie
100215,Zombie
104037,Zombie
101643,Sidekick
103955,Fix-Me
101715,Zombie
104421,Zombie
103817,Zombie
104574,Zombie
102529,Zombie
104497,Fix-Me
102520,Sidekick
104701,Zombie
100341,Zombie
102885,Fix-Me
104938,Fix-Me
104969,Hero
101083,Zombie
103261,Villain
101489,Sidekick
103692,Zombie
105487,Villain
105155,Hero
103109,Sidekick
103276,Villain
103312,Fix-Me
104966,Fix-Me
105359,Sidekick
104814,Zombie
103693,Zombie
104484,Zombie
102998,Hero
104882,Zombie
102903,Sidekick
102548,Villain
103954,Villain
105353,Zombie
101233,Sidekick
105051,Zombie
104715,Hero
103358,Zombie
105616,Villain
104091,Fix-Me
104702,Fix-Me
103461,Zombie
100854,Fix-Me
104941,Zombie
105515,Sidekick
104002,Newborn
101210,Sidekick
102843,Sidekick
103188,Zombie
104347,Villain
103287,Zombie
100110,Villain
102543,Zombie
103302,Zombie
104493,Zombie
104796,Zombie
103335,Fix-Me
101741,Zombie
105152,Zombie
100686,Zombie
102852,Sidekick
103115,Zombie
103237,Zombie
100103,Zombie
101746,Zombie
105500,Villain
105120,Zombie
100145,Zombie
104992,Fix-Me
103965,Fix-Me
103668,Villain
103691,Zombie
103880,Zombie
100015,Zombie
100718,Zombie
101128,Zombie
102836,Zombie
104748,Newborn
103787,Zombie
105005,Zombie
100998,Villain
100748,Zombie
101476,Fix-Me
105022,Zombie
105508,Fix-Me
105378,Fix-Me
103919,Villain
103941,Villain
104853,Zombie
100262,Zombie
100329,Zombie
105562,Zombie
100020,Villain
102534,Fix-Me
103956,Sidekick
101691,Zombie
101503,Sidekick
101084,Zombie
100378,Sidekick
102464,Sidekick
103791,Zombie
103602,Fix-Me
100373,Zombie
105675,Newborn
103708,Zombie
100260,Zombie
104894,Zombie
105599,Zombie
103336,Zombie
104501,Villain
101752,Zombie
103331,Zombie
104737,Fix-Me
103463,Zombie
100995,Zombie
103012,Villain
100678,Zombie
101730,Zombie
100269,Zombie
104099,Sidekick
105341,Hero
100045,Sidekick
100446,Zombie
104744,Zombie
103367,Villain
105283,Zombie
102888,Zombie
105641,Fix-Me
101322,Villain
102931,Fix-Me
100173,Zombie
104703,Fix-Me
101215,Zombie
104775,Zombie
105321,Villain
103823,Zombie
103530,Villain
101531,Villain
101079,Zombie
102478,Hero
105600,Zombie
103614,Sidekick
104818,Sidekick
104442,Zombie
104048,Zombie
103813,Zombie
104835,Villain
105368,Villain
101069,Sidekick
105302,Zombie
102580,Fix-Me
100156,Zombie
103241,Zombie
100155,Fix-Me
101667,Zombie
103713,Zombie
104846,Fix-Me
101735,Zombie
101219,Sidekick
101527,Sidekick
101755,Zombie
104961,Villain
103997,Zombie
102556,Zombie
104472,Villain
100448,Villain
104885,Zombie
105309,Zombie
101796,Zombie
101012,Zombie
100114,Sidekick
105510,Zombie
101804,Sidekick
103291,Fix-Me
103535,Zombie
100251,Zombie
101557,Sidekick
102920,Fix-Me
104826,Villain
103250,Fix-Me
101021,Zombie
102452,Sidekick
102818,Zombie
100673,Zombie
105209,Zombie
100996,Fix-Me
105340,Fix-Me
101568,Sidekick
100021,Zombie
105119,Hero
104437,Hero
100345,Zombie
101054,Zombie
105541,Zombie
100093,Zombie
100101,Zombie
103190,Zombie
103798,Fix-Me
103680,Sidekick
101043,Zombie
100354,Zombie
100426,Fix-Me
105201,Zombie
100687,Zombie
100207,Newborn
105499,Villain
101103,Zombie
100208,Zombie
105342,Sidekick
105013,Zombie
104488,Zombie
102503,Fix-Me
105634,Zombie
103469,Zombie
103682,Fix-Me
103942,Villain
103765,Hero
101919,Hero
101799,Newborn
103143,Zombie
101642,Zombie
103285,Villain
104127,Zombie
104887,Zombie
100997,Sidekick
104481,Sidekick
102545,Villain
100765,Zombie
103186,Hero
105045,Zombie
101627,Zombie
101047,Newborn
104752,Zombie
103751,Zombie
100323,Zombie
105298,Sidekick
103918,Sidekick
101181,Fix-Me
100423,Sidekick
103458,Zombie
104833,Fix-Me
101010,Zombie
105595,Zombie
104389,Fix-Me
101562,Villain
100187,Zombie
103622,Zombie
104817,Fix-Me
100682,Zombie
104700,Sidekick
103980,Sidekick
103604,Villain
104050,Zombie
100344,Zombie
104122,Zombie
103854,Fix-Me
104299,Villain
105375,Fix-Me
101229,Fix-Me
100028,Sidekick
105039,Sidekick
103203,Fix-Me
104095,Fix-Me
101108,Zombie
104480,Zombie
104981,Fix-Me
102466,Hero
103249,Villain
101203,Villain
100087,Zombie
105514,Fix-Me
104937,Zombie
103125,Fix-Me
103820,Zombie
100991,Fix-Me
105556,Zombie
104681,Sidekick
